"Genus name","Obligate anerobic prokaryote"
Abiotrophia,0
Acetanaerobacterium,1
Acetatifactor,1
Acetitomaculum,1
Acetivibrio,0
Acetoanaerobium,1
Acetobacter,0
Acetomicrobium,1
Acholeplasma,Variable
Achromobacter,0
Acidaminobacter,1
Acidaminococcus,1
Acidiphilium,0
Acidithiobacillus,0
Acidothermus,0
Acidovorax,0
Acinetobacter,0
Actinobacillus,0
Actinobaculum,0
Actinocorallia,0
Actinomadura,0
Actinomyces,0
Adlercreutzia,1
Advenella,0
Aeribacillus,0
Aerococcus,0
Aeromicrobium,0
Aeromonas,0
Aggregatibacter,0
Agrobacterium,0
Agrococcus,0
Agromyces,0
Akkermansia,1
Alcaligenes,0
Alicycliphilus,0
Alicyclobacillus,0
Alistipes,1
Alkalibacterium,0
Alkalibaculum,1
Alkalibaculum,1
Alkaligenes,0
Alkaliphilus,1
Alkalitalea,1
Allisonella,1
Allobaculum,1
Alloiococcus,0
Alloprevotella,1
Alloscardovia,0
Alteromonas,0
Amaricoccus,0
Aminivibrio,1
Aminobacterium,1
Amycolatopsis,1
Anabaena,0
Anaerobacillus,1
Anaerobacter,1
Anaerobiospirillum,1
Anaerobranca,1
Anaerococcus,1
Anaerofilum,1
Anaerofustis,1
Anaeroglobus,1
Anaerophaga,1
Anaerorhabdus,1
Anaerosalibacter,1
Anaerosporobacter,1
Anaerostipes,1
Anaerotruncus,1
Anaerovibrio,1
Ancylobacter,0
Aneurinibacillus,0
Anoxybacillus,1
Aquabacterium,0
Aquincola,0
Aquitalea,0
Arcanobacterium,0
Arcobacter,0
Arenimonas,0
Armatimonas,0
Arthrobacter,0
Asaccharobacter,1
Atopobium,0
Atopostipes,0
Aureimonas,0
Averyella,0
Azoarcus,0
Azohydromonas,0
Azonexus,0
Azospira,0
Azospirillum,0
Bacillus,0
Bacteroides,1
Barnesiella,1
Bartonella,0
Bhargavaea,0
Bifidobacterium,VARIABLE
Bilophila,1
Bisgaard,0
Blastocatella,0
Blastochloris,0
Blastococcus,0
Blautia,1
Bombiscardovia,0
Bosea,0
Brachybacterium,0
Brachyspira,1
Bradyrhizobium,0
Brassicibacter,1
Brenneria,0
Brevibacillus,0
Brevibacterium,0
Brevundimonas,0
Brochothrix,0
Bulleidia,1
Burkholderia,0
butyrate-producing_bacterium_A1-86,1
butyrate-producing_bacterium_A2-207,1
butyrate-producing_bacterium_ART55/1,1
butyrate-producing_bacterium_GM2/1,1
butyrate-producing_bacterium_L1-93,1
butyrate-producing_bacterium_L2-10,1
butyrate-producing_bacterium_PH05YA09,2
butyrate-producing_bacterium_PH07BW09,2
butyrate-producing_bacterium_SM4/1,1
butyrate-producing_bacterium_SR1/1,1
butyrate-producing_bacterium_SSC/2,1
butyrate-producing_bacterium_YE53,1
Butyricicoccus,1
Butyricimonas,1
Butyrivibrio,1
Buvidicia,0
Caldanaerocella,1
Caldicellulosiruptor,1
Caldicoprobacter,1
Caldilinea,0
Caldimonas,0
Caloramator,1
Caminicella,1
Campylobacter,0
Capnocytophaga,0
Cardiobacterium,0
Carnobacterium,0
Caryophanon,0
Catabacter,1
Catenibacterium,1
Catenulispora,0
Catonella,1
Caulobacter,0
Cedecea,0
Cellulomonas,0
Cellulosilyticum,1
Cellulosimicrobium,0
Centipeda,1
Cerasicoccus,0
Cetobacterium,1
Chelatococcus,0
Chloroflexus,0
Chondromyces,0
Christensenella,1
Chryseobacterium,0
Chungangia,0
Citrobacter,0
Clavibacter,0
Cloacibacillus,1
"Cloacibacterium ",0
Clostridium,1
Cobetia,0
Collinsella,1
Comamonas,0
Conchiformibius,0
Coprobacillus,1
Coprobacter,1
Coprococcus,1
Coraliomargarita,1
Coriobacterium,1
Corynebacterium,0
Coxiella,0
Craurococcus,0
Cronobacter,0
Cryptobacterium,1
"Curtobacterium ",0
Cycloclasticus,0
Dechloromonas,0
Defluviitalea,1
Dehalobacter,1
Deinococcus,0
Delftia,0
Denitrobacterium,1
Dermabacter,0
Dermacoccus,0
Desemzia,0
Desulfomicrobium,1
Desulfonosporus,1
Desulfosporomusa,1
Desulfotomaculum,1
Desulfovibrio,1
Dethiosulfatibacter,1
Devosia,0
Dialister,1
Diaphorobacter,0
Dickeya,0
Dielma,1
Dietzia,0
Dolosigranulum,0
Dorea,1
Dysgonomonas,0
Edwardsiella,0
Eggerthella,1
Eikenella,0
Elbe,UNKNOWN
Elizabethkingia,0
Elusimicrobium,1
Enorma,1
Enterobacter,0
Enterococcus,0
Enterorhabdus,0
Epulopiscium,2
Erwinia,0
Erysipelothrix,0
Escherichia,0
Ethanoligenens,1
Eubacterium,1
Ewingella,0
Exiguobacterium,0
Facklamia,0
Faecalibacterium,1
Fastidiosipila,1
Fibrisoma,0
Fibrobacter,1
Fictibacillus,0
Filifactor,1
Finegoldia,1
Flavisolibacter,0
Flavobacterium,0
Flavonifractor,1
Flexibacter,0
Frankia,0
Fusicatenibacter,1
Fusobacterium,1
Garciella,UNKNOWN
Garciella,1
Gardnerella,0
Gemella,0
Gemmata,0
Gemmatimonas,0
Gemmiger,1
Geobacillus,0
Geodermatophilus,0
Geofilum,0
Georgenia,0
Geosporobacter,1
Gibbsiella,0
Glaciibacter,0
Globicatella,0
Gluconobacter,0
Gordonia,0
Gordonibacter,1
Gracilibacter,1
Granulicatella,0
Gryllotalpicola,0
Haemophilus,0
Hafnia,0
Halanaerobium,1
Hallella,1
Halobacillus,0
Halolactibacillus,0
Halomonas,0
Haloplasma,1
Halotalea,0
Helcococcus,0
Helicobacter,0
Heliobacterium,1
Herbaspirillum,0
Herpetosiphon,0
Hespellia,1
Holdemania,1
Howardella,1
Humibacter,0
Hydrogenoanaerobacterium,1
Hydrogenophaga,0
Hydrogenophilus,0
Hydrotalea,0
Hylemonella,0
Hymenobacter,0
Hyphomicrobium,0
Ideonella,0
Ilyobacter,1
Intestinimonas,1
Isobaculum,0
Isoptericola,0
Janthinobacterium,0
Jeotgalicoccus,0
Jonesia,0
Jonquetella,1
Kaistibacter,UNKNOWN
Kallipyga,1
Kineococcus,0
Kineosporia,0
Kingella,0
Kitasatospora,0
Klebsiella,0
Kluyvera,0
Kocuria,0
Kofleria,0
Kopriimonas,UNKNOWN
Kopriimonas,0
Kosakonia,0
Kribella,0
Ktedonobacter,0
Kurthia,0
Kushneria,0
Kytococcus,0
Labedella,0
Laceyella,0
Lachnoanaerobaculum,1
Lachnobacterium,1
Lachnoclostridium,1
Lachnospira,1
Lactobacillus,0
Lactococcus,0
Lactonifactor,1
Lautropia,0
Lechevalieria,0
Leclercia,0
Leeia,0
Leifsonia,0
Lelliottia,0
Lentimonas,UNKNOWN
Lentimonas,0
Leptothrix,0
Leptotrichia,0
Leucobacter,0
Leuconostoc,0
limnobacter,0
Litorilinea,0
Lutispora,1
Lysinibacillus,0
Lysobacter,0
Macrococcus,0
Mahella,1
Mangrovibacter,0
Mangroviflexus,1
Mannheimia,0
Marinicella,0
Marinilabilia,0
Marinilactibacillus,0
Marinobacter,0
Marinobacter,0
Marinomonas,0
Marispirillum,0
Marmoricola,0
Marvinbryantia,1
Massilia,0
Mechercharimyces,0
Megamonas,1
Megasphaera,1
Melissococcus,1
Mesorhizobium,0
Methanobrevibacter,1
Methanosphaera,1
Methylibium,0
Methylobacterium,0
Methylocystis,0
Methylosinus,0
Methyloversatilis,0
Microbacterium,0
Microbulbifer,0
Micrococcus,0
Microvirga,1
Mitsuaria,0
Mitsuokella,1
Mobiluncus,1
Modestobacter,0
Mogibacterium,1
Moorella,1
Moraxella,0
Morganella,0
Moryella,1
Myceligenerans,0
Mycobacterium,0
Mycoplana,0
Mycoplasma,0
Nannocystis,0
Natranaerovirga,1
Natronincola,1
Natronobacillus,1
Negativicoccus,1
Neisseria,0
Neptunomonas,0
Nesterenkonia,0
Nicoletella,0
Nitratireductor,0
Nitrincola,0
Nitrosomonas,0
Nitrosospira,0
Nitrosovibrio,0
Nocardia,0
Nocardioides,0
Nocardiopsis,0
Nonomuraea,0
Nosocomiicoccus,0
Novosphingobium,0
Oceanirhabdus,1
Oceanobacillus,0
Ochrobactrum,0
Odoribacter,1
Okadaella,0
Oligosphaera,1
Olsenella,1
Oribacterium,1
Ornithinibacillus,0
Ornithobacterium,0
Oscillibacter,1
Oscillochloris,0
Oscillospira,1
Oxalobacter,1
Oxobacter,1
Paenibacillus,0
Paludibacter,1
Pantoea,0
Papillibacter,1
Parabacteroides,1
Parachlamydia,2
Paracoccus,0
Paraeggerthella,1
Paraprevotella,1
Parascardovia,1
Parasporobacterium,1
Parasutterella,1
Parvibacter,1
Parvimonas,1
Pasteurella,0
Paucisalibacillus,0
Pectinatus,1
Pectobacterium,0
Pediococcus,0
Pedobacter,0
Pelomonas,0
Peptococcus,1
Peptoniphilus,1
Peptostreptococcus,1
Petrimonas,1
Petrobacter,0
Phascolarctobacterium,1
Phaselicystis,0
Photobacterium,0
Photorhabdus,1
Photorhabdus,0
Phycicoccus,0
Phyllobacterium,0
Pilibacter,1
Pilimelia,0
Pirellula,0
Planctomyces,0
Planobacterium,0
Planococcus,0
Planomicrobium,0
Plantibacter,0
Pleomorphomonas,0
Pluralibacter,0
Polynucleobacter,0
Pontibacillus,0
Pontibacter,0
Porphyrobacter,0
Porphyromonas,1
Prauserella,0
Prevotella,1
Promicromonospora,0
Propionibacterium,0
Propionimicrobium,1
Proteiniclasticum,1
Proteiniphilum,1
Proteocatella,1
Proteus,0
Providencia,0
Pseudoalteromonas,0
Pseudobutyrivibrio,1
Pseudoclavibacter,0
Pseudoflavonifractor,1
Pseudoflavonifractor,1
Pseudomaricurvus,1
Pseudomonas,0
Pseudoramibacter,1
Psychrobacillus,0
Psychrobacter,0
Psychromonas,0
Pullulanibacillus,0
Puniceicoccus,0
Pyramidobacter,1
Quadrisphaera,0
Rahnella,0
Ralstonia,0
Ramlibacter,0
Raoultella,0
Rathayibacter,0
Renibacterium,0
Rheinheimera,0
Rhizobium,0
Rhodococcus,0
Rhodoglobus,0
Rhodopirellula,0
Rhodopseudomonas,0
Rhodovulum,0
Riemerella,0
Rikenella,1
Robinsoniella,1
Roseateles,0
Roseburia,1
Rosenbergiella,0
Roseomonas,0
Rothia,0
Rubellimicrobium,0
Rubellimicrobium,0
Ruminobacter,1
Ruminococcus,1
Rummeliibacillus,0
Saccharibacillus,0
Saccharofermentans,1
Saccharomonospora,0
Saccharospirillum,0
Saccharothrix,0
Salicola,0
Salinarimonas,0
Salinibacillus,0
Salinibacterium,0
Salinicoccus,0
Salinimicrobium,0
Salmonella,0
Sarcina,0
Scardovia,1
Schlegella,0
Schumannella,1
Schwartzia,1
Scopulibacillus,0
Sedimentibacter,1
Sediminibacillus,0
Segniliparus,0
Sejongia,0
Selenomonas,1
Senegalemassilia,1
Serratia,0
Sharpea,1
Shewanella,0
Shigella,0
Shuttleworthia,1
Silanimonas,0
Simplicispira,0
Singulisphaera,0
Sinomonas,0
Skermanella,0
Slackia,1
Smithella,1
Sneathia,1
Sodalis,0
Soehngenia,1
Solibacillus,0
Solitalea,0
Solobacterium,1
Sphaerobacter,0
Sphingobacterium,0
Sphingomonas,0
Sphingopyxis,0
Spiroplasma,1
Spirosoma,0
Spongiobacter,2
Sporacetigenium,1
Sporanaerobacter,1
Sporichthya,0
Sporobacterium,1
Sporosarcina,0
Staphylococcus,0
Stenotrophomonas,0
Stomatobaculum,1
Streptoalloteichus,0
Streptobacillus,0
Streptococcus,0
Streptomyces,0
Subdoligranulum,1
Succinatimonas,1
Succiniclasticum,1
Succinivibrio,1
Sulfurivirga,0
Sutterella,1
Synechocystis,0
Synergistes,1
Syntrophococcus,1
Tannerella,1
Tatumella,0
Tepidibacter,0
Tepidimicrobium,1
Tepidimonas,0
Tepidiphilus,0
Terrahaemophilus,UNKNOWN
Tetragenococcus,0
Tetrasphaera,0
Thalassobacillus,0
Thalassomonas,0
Thalassospira,0
Thauera,0
Thermincola,1
Thermoactinomyces,0
Thermoanaerobacter,1
Thermobrachium,1
Thermoleophiulum,0
Thermomicrobium,0
Thermomonospora,0
Thermosinus,1
Thermotalea,1
Thermus,0
Thiothrix,0
Timonella,0
Tindallia,1
Tissierella,1
Tolumonas,0
Tomitella,0
Treponema,0
Trichococcus,0
Tropheryma,0
Truepera,0
Trueperella,0
Turicibacter,1
Uliginosibacterium,0
Undibacterium,0
Ureaplasma,0
Ureibacillus,0
Vagococcus,0
Vallitalea,1
Varibaculum,1
Variovorax,0
Veillonella,1
Verminephrobacter,0
Vibrio,0
Victivallis,1
Virgibacillus,0
Wautersiella,0
Weissella,0
Williamsia,0
Xanthobacter,0
Xenorhabdus,0
Yaniella,0
Yersinia,0
Yokenella,0
Yonghaparkia,0
Zymophilus,1
