Name,Run,BioSample,LibraryName,SampleName,Condition,Day,Replicate,"Eh (mV)",pH
"Hydrodynamic Experiments",SRR16767572,SAMN22843049,21d_Jb1_,21d_Jb1_,Static,21,1,-220.9,7.45
"Hydrodynamic Experiments",SRR16767571,SAMN22843050,21d_Jb2_,21d_Jb2_,Static,21,2,-220.9,7.45
"Hydrodynamic Experiments",SRR16767569,SAMN22843051,21d_Jb3_,21d_Jb3_,Static,21,3,-220.9,7.45
"Hydrodynamic Experiments",SRR16767568,SAMN22843052,21d_Qb1_,21d_Qb1_,Strong,21,1,-180.3,7.72
"Hydrodynamic Experiments",SRR16767567,SAMN22843053,21d_Qb2_,21d_Qb2_,Strong,21,2,-180.3,7.72
"Hydrodynamic Experiments",SRR16767566,SAMN22843054,21d_Qb3_,21d_Qb3_,Strong,21,3,-180.3,7.72
"Hydrodynamic Experiments",SRR16767565,SAMN22843055,21d_Rb1_,21d_Rb1_,Weak,21,1,-150.7,7.66
"Hydrodynamic Experiments",SRR16767564,SAMN22843056,21d_Rb2_,21d_Rb2_,Weak,21,2,-150.7,7.66
"Hydrodynamic Experiments",SRR16767563,SAMN22843057,21d_Rb3_,21d_Rb3_,Weak,21,3,-150.7,7.66
"Hydrodynamic Experiments",SRR16767562,SAMN22843058,35d_Jb1_,35d_Jb1_,Static,35,1,-218.8,7.42
"Hydrodynamic Experiments",SRR16767561,SAMN22843059,35d_Jb2_,35d_Jb2_,Static,35,2,-218.8,7.42
"Hydrodynamic Experiments",SRR16767560,SAMN22843060,35d_Jb3_,35d_Jb3_,Static,35,3,-218.8,7.42
"Hydrodynamic Experiments",SRR16767558,SAMN22843061,35d_Qb1_,35d_Qb1_,Strong,35,1,-93.2,7.62
"Hydrodynamic Experiments",SRR16767557,SAMN22843062,35d_Qb2_,35d_Qb2_,Strong,35,2,-93.2,7.62
"Hydrodynamic Experiments",SRR16767556,SAMN22843063,35d_Qb3_,35d_Qb3_,Strong,35,3,-93.2,7.62
"Hydrodynamic Experiments",SRR16767555,SAMN22843064,35d_Rb1_,35d_Rb1_,Weak,35,1,-94.8,7.43
"Hydrodynamic Experiments",SRR16767554,SAMN22843065,35d_Rb2_,35d_Rb2_,Weak,35,2,-94.8,7.43
"Hydrodynamic Experiments",SRR16767542,SAMN22843066,35d_Rb3_,35d_Rb3_,Weak,35,3,-94.8,7.43
"Hydrodynamic Experiments",SRR16767543,SAMN22843067,47d_Jb1_,47d_Jb1_,Static,47,1,-225.2,7.23
"Hydrodynamic Experiments",SRR16767544,SAMN22843068,47d_Jb2_,47d_Jb2_,Static,47,2,-225.2,7.23
"Hydrodynamic Experiments",SRR16767545,SAMN22843069,47d_Jb3_,47d_Jb3_,Static,47,3,-225.2,7.23
"Hydrodynamic Experiments",SRR16767546,SAMN22843070,47d_Qb1_,47d_Qb1_,Strong,47,1,-94.2,7.34
"Hydrodynamic Experiments",SRR16767548,SAMN22843071,47d_Qb2_,47d_Qb2_,Strong,47,2,-94.2,7.34
"Hydrodynamic Experiments",SRR16767549,SAMN22843072,47d_Qb3_,47d_Qb3_,Strong,47,3,-94.2,7.34
"Hydrodynamic Experiments",SRR16767550,SAMN22843073,47d_Rb1_,47d_Rb1_,Weak,47,1,-94.2,7.09
"Hydrodynamic Experiments",SRR16767551,SAMN22843074,47d_Rb2_,47d_Rb2_,Weak,47,2,-94.2,7.09
"Hydrodynamic Experiments",SRR16767552,SAMN22843075,47d_Rb3_,47d_Rb3_,Weak,47,3,-94.2,7.09
"Hydrodynamic Experiments",SRR16767541,SAMN22843040,7d_Jb1_,7d_Jb1_,Static,7,1,-194.1,7.3
"Hydrodynamic Experiments",SRR16767580,SAMN22843041,7d_Jb2_,7d_Jb2_,Static,7,2,-194.1,7.3
"Hydrodynamic Experiments",SRR16767579,SAMN22843042,7d_Jb3_,7d_Jb3_,Static,7,3,-194.1,7.3
"Hydrodynamic Experiments",SRR16767578,SAMN22843043,7d_Qb1_,7d_Qb1_,Strong,7,1,-194.1,7.61
"Hydrodynamic Experiments",SRR16767577,SAMN22843044,7d_Qb2_,7d_Qb2_,Strong,7,2,-194.1,7.61
"Hydrodynamic Experiments",SRR16767576,SAMN22843045,7d_Qb3_,7d_Qb3_,Strong,7,3,-194.1,7.61
"Hydrodynamic Experiments",SRR16767575,SAMN22843046,7d_Rb1_,7d_Rb1_,Weak,7,1,-194.1,7.52
"Hydrodynamic Experiments",SRR16767574,SAMN22843047,7d_Rb2_,7d_Rb2_,Weak,7,2,-194.1,7.52
"Hydrodynamic Experiments",SRR16767573,SAMN22843048,7d_Rb3_,7d_Rb3_,Weak,7,3,-194.1,7.52
"Hydrodynamic Experiments",SRR16767582,SAMN22843031,od_J1_,od_J1_,Static,0,1,-193.3,7.34
"Hydrodynamic Experiments",SRR16767581,SAMN22843032,od_J2_,od_J2_,Static,0,2,-193.3,7.34
"Hydrodynamic Experiments",SRR16767570,SAMN22843033,od_J3_,od_J3_,Static,0,3,-193.3,7.34
"Hydrodynamic Experiments",SRR16767559,SAMN22843034,od_Q1_,od_Q1_,Strong,0,1,-194,7.52
"Hydrodynamic Experiments",SRR16767547,SAMN22843035,od_Q2_,od_Q2_,Strong,0,2,-194,7.52
"Hydrodynamic Experiments",SRR16767553,SAMN22843036,od_Q3_,od_Q3_,Strong,0,3,-194,7.52
"Hydrodynamic Experiments",SRR16767540,SAMN22843039,od_R3_,od_R3_,Weak,0,3,-193.3,7.43
"Hydrodynamic Experiments",SRR16767538,SAMN22843037,od_Rr1_,od_Rr1_,Weak,0,1,-193.3,7.43
"Hydrodynamic Experiments",SRR16767539,SAMN22843038,od_Rr2_,od_Rr2_,Weak,0,2,-193.3,7.43
